HIP,RA_rad,Dec_rad,parallax,pmRA,pmDec,HpMag
88,0.0046977187,-0.8518927495,5.5,-18.36,-5.82,5.869
107,0.0058259401,-0.8785533522,6.01,7.88,11.4,5.6243
122,0.0069704752,-1.3450431269,15.02,-57.3,-177.06,4.9354
124,0.0070554113,1.0685395054,1.06,-3.14,-0.74,5.6725
145,0.0079585109,-0.0528394792,7.18,19.08,-9.66,5.0831
154,0.0085515013,-0.1049636029,7.55,48.39,-40.94,4.412
171,0.0094280686,0.4727135123,82.17,780.22,-917.75,5.8735
183,0.010174839,-0.5187196794,6.49,9.34,14.5,4.9895
194,0.0108906666,0.148101282,27.1,-94.1,-47.42,5.7806
301,0.0163168258,-0.3025697545,11.98,25.17,-9.16,4.5366
330,0.0184469447,1.087124832,0.84,-1.32,0.14,5.9712
343,0.0188903896,-0.2884835481,11.03,47.64,-61.36,5.9562
355,0.0196438507,-0.1834252794,1.56,-6.85,-12.02,5.0996
377,0.020453296,-1.246808384,5.7,29.62,-12.76,5.5635
379,0.0204957983,1.1722746136,10.79,95.93,23.2,5.8511
418,0.0222625887,1.0701305581,4.51,14.29,2.38,5.7814
443,0.0232816568,-0.0996204682,25.32,-6.54,87.85,4.7803
476,0.0248662722,0.2338092342,8.75,43.58,-5.96,5.7076
522,0.0275371614,-0.8565219731,38.89,575.29,-39.19,5.8163
531,0.0281090228,1.1204345102,3.76,10.46,0.1,5.5684
636,0.033950705,-0.3928470046,12.76,69.43,-34.97,5.9806
655,0.0351623685,-0.5851972696,10.53,-43.55,3.32,5.8385
677,0.0365914186,0.5077307372,33.62,137.46,-163.44,2.0371
729,0.0394399454,0.3178598033,11.44,140.02,-25.64,5.7323
746,0.0400036499,1.0323660584,59.58,523.5,-179.77,2.3579
761,0.0407985727,-0.488481072,12.91,70.11,-8.97,5.51
765,0.0410545044,-0.7984355691,22.62,121.52,-179.83,4.0452
813,0.0437920967,0.194531066,10.68,30.9,1.75,5.5212
814,0.0437982359,-1.435079479,12.81,-21.65,-20.34,5.453
841,0.0450325474,0.8041128323,2.65,5.49,0.28,5.1174
910,0.0491534227,-0.2699557081,53.34,-83.38,-270.17,5.0025
930,0.050499436,-0.4851976646,4.11,3.42,19.8,5.577
950,0.0511881892,-0.6131934379,47,169.83,114.56,5.3425
983,0.0530833957,-0.3130809591,5.24,55.37,-24.95,5.4056
1067,0.0577522202,0.2650040933,8.33,1.98,-9.28,2.7544
1074,0.0581447987,-1.4834255081,3.35,10.82,17.7,5.8488
1086,0.0589728807,0.7162085428,28.65,-123.2,-146.41,5.7891
1158,0.0630930868,-0.1357960054,5.6,62.62,4.37,5.1798
1168,0.0637123786,0.3526733959,8.86,90.76,1.24,4.8756
1170,0.0638814271,-0.3304377121,7.29,-26.15,-73.58,4.5262
1191,0.0650499709,-0.1670201683,9.63,23.85,-7.73,5.7506
1288,0.070452081,-0.5488419658,6.57,118.49,-26.92,5.811
1354,0.0739620228,1.0739568348,5.26,-6.06,-3.39,5.8988
1366,0.0745790627,0.67512266,10.56,-49.35,-17.65,4.6349
1372,0.0748339166,0.8368402598,2.91,3.8,-3.75,5.839
1473,0.0799728252,0.6420250772,24.2,-65.67,-42,4.5377
1493,0.0813190882,0.5500795044,6,57.77,-2.74,5.8849
1562,0.0847708677,-0.1540048781,11.88,-15.15,-37.11,3.7314
1599,0.0874056696,-1.1323281358,116.46,1707.42,1164.3,4.3442
1630,0.0890402984,0.5399283436,6.26,14.13,-1.05,5.8586
1645,0.0898745824,0.1429467985,8,-4.22,9.73,5.5386
1647,0.09010573,-1.215183946,10.25,-3.53,-0.1,5.496
1657,0.0905781345,0.5744092961,5.21,-29.84,-17.66,5.9028
1686,0.0921552686,0.6626788171,20.6,58.93,-38.56,5.2579
1708,0.0938970031,-0.505819023,9.87,32.76,-72.01,5.3382
1728,0.0949920703,-0.3500780092,3.7,61.91,-12.81,5.439
1921,0.105857436,0.9079189635,3.26,13.62,-3.92,5.5506
1960,0.1081732262,1.0791556346,4.65,13.9,-3.21,5.3941
1982,0.1095474647,0.9258410581,6.32,25.92,0.7,5.711
2006,0.1108441746,0.0338545643,6.94,-13.64,-12.63,5.9256
2021,0.1119339317,-1.3483547235,134.07,2219.54,324.09,2.9305
2072,0.1143275139,-0.7623582379,42,106.2,32.15,3.9946
2081,0.1146730467,-0.7383636553,38.5,233.05,-356.3,2.5512
2210,0.1218612649,-0.5760816055,7.22,-20.1,-49.94,4.9006
2219,0.1223799069,0.3122930731,6.17,115.36,19.88,5.0291
